title;abstract
The impact of e-commerce in supply chain management on permanent establishment concept;Information and communications technology (ICT) in supply chain management has enabled corporations to use offshore facilities for outsourcing commercial activities. This has expanded service trade significantly but poses challenges for tax authorities. This article deals with one of the important issues - the supply chain management in E-commerce and taxation industries and the Permanent Establishment rule which mean is any fixed place of business of the employer and includes a branch, a mine, an oil well, a gas well, a farm, timberland, a factory, a workshop, a warehouse, an office and an agency. This article examines issues surrounding the (1) rapid expansion of global electronic commerce in the context of supply chain management, (2) extant theory of taxation, (3) policy considerations and (4) e-commerce in the context of taxation. Based on the examples, this article explores the effective methods of supply chain management in the E-commerce industry, creates a taxonomy of recommender systems, including the interfaces they present to customers, the technologies used to create the recommendations, and the inputs they need from customers. © 2019.
Product recommendation for e-commerce business by applying principal component analysis (PCA) and K-means clustering: benefit for the society;Recommender system is a computer-based intelligent technique which facilitates the customers to fulfill their purchase requirements. In addition to this, it also helps retailers to manage the supply chain of their business and to develop different business strategies keeping in pace with the current market. Supply chain management (SCM) involves the streamlining of a business’s supply-side activities to remain competitive in the business landscape. Maximizing the customer value is another important activity of SCM to gain an advantage in the market. In this work, the K-Means clustering algorithm has been used for the effective segmentation of customers who have bought apparel items. PCA has been used for dimensionality reduction of different features of products and customers. The main focus of this work is to determine the different possible associations of customers in terms of brand, product, and price from their purchase habits. The result shows that the clusters made by the algorithm based on PCA and K-Means are similar and the results are acceptable on the basis of feedback received from existing customers and satisfies the customers’ requirements based on the amount of money (price range) the customers want to spend while doing online shopping. The features of products purchased by customers were combined together to generate a unique product key for business, and a model was prepared to segment products based on the volume of products sold and revenue generated, and the price of products sold and revenue generated. This work, in the long run, will help business houses to build a sustainable, profitable, and scalable e-commerce business. Environmental, social, and economic aspects are important to make e-commerce more sustainable for the benefit of the society. © 2020, Springer-Verlag London Ltd., part of Springer Nature.
The Application of Personalized Recommendation System in the Cross-Regional Promotion of Provincial Intangible Cultural Heritage;With the accelerated trend of globalization and modernization, many provincial intangible cultural heritages (PICH) are in danger of being lost. In the context of Internet technology, the use of digital multimedia for personalized recommendation is an effective way to promote the transmission of intangible cultural heritage. However, traditional recommendation systems tend to treat different members as homogeneous objects, ignoring the relationship between members' professional backgrounds and the inherent properties of items, and cannot truly solve the problem of conflicting preferences in the integration process. In view of this, this paper proposes a group recommendation system based on nonnegative matrix decomposition. First, the group rating information is decomposed into a user matrix and item matrix by nonnegative matrix decomposition. Then, the item affiliation matrix and member expertise matrix are calculated by using the affiliation and expertise weights for the two matrices, respectively, and the contribution degree of each member to different item ratings is obtained from them. Finally, the group preference model is constructed by weighted fusion of members' preferences based on their contribution degrees, and different recommendation lists are generated for different user preferences. The experimental results prove that this system has high recommendation accuracy in cross-regional promotion of PICH.  © 2022 Qin Wang.
INTERNET OF THINGS ENABLED ELECTRONIC MARKETS: TRANSPARENT, COLLABORATIVE, AND AUTOMATED;The rapid and successful evolution of the electronic markets is enabled by information and communication technology (ICT) tools such as recommender systems, reputation feedback systems, product reviews and ratings, peer-to-peer payment mechanisms, and parametric search functions. In recent years, the Internet of things (IoT) has connected billions of devices around the world to collect and share data on product and process performance, physical surroundings, and usage patterns. These IoT-based smart objects have a profound impact on three core business processes: product lifecycle management (PLM), supply chain management (SCM), and customer relationship management (CRM). Drawing on the theories in the fields of ICT-led electronic markets and IoT applications, this paper shows how IoT can transform the next generation of electronic markets by making them more transparent, collaborative, and automated. The paper contributes to the theory of the electronic markets by showing how the IoT can extend the product life cycle management beyond the firm's boundaries, enable live tracking of the product in upward and downward supply chains, and provide proactive customer relationship management (CRM) services. The challenges faced by electronic markets during such transformation are also discussed. © 2020 Issues in Information Systems. All rights reserved.
Recommendations from cold starts in big data;This paper examines the challenging problem of new user cold starts in subset labelled and extremely sparsely labelled big data. We introduce a new Isle of Wight Supply Chain (IWSC) dataset demonstrating these characteristics. We also introduce a new technique addressing these challenges, the Transitive Semantic Relationships (TSR) model, which infers potential relationships from user and item text content and few labelled examples. We perform both implicit and explicit evaluation of TSR as a recommender system and from new user cold starts we achieve a hit-rate@10 of 77% on a collection of 630 items with only 376 supply-chain consumer labels, and 67% with only 142 supply-chain supplier labels, demonstrating a high level of performance even with extremely few labels in challenging cold-start scenarios. TSR is suitable for any dataset featuring few labels and user and item content, where similarity of content indicates similar relationship forming capability. TSR can be used as a standalone recommender system or to complement existing high-performance recommender models that require more labels or do not support cold starts. © 2020, The Author(s).
Joint Matrix Factorization: A Novel Approach for Recommender System;Collaborative filtering (CF) is the most classical method for recommender system, but it is usually suffered from limited performance by the sparseness of user-to-item rating data. Recently, due to the powerful learning feature representation ability, deep learning components are used to leverage auxiliary information to assist recommendation. However, most existing models based on deep learning are incomplete so that merely extracting the item latent representation and ignoring the user parts. Besides, different data are not chosen from current models. This paper proposes a novel probability framework, named as joint matrix factorization (JMF). There are three components in JMF. Firstly, the modified multilayer crossing version of the factorization machine (MFM) is designed to extract the user latent factors based on user behavior information. Moreover, MFM is a general method which can be used to accomplish many tasks in terms of machine learning. Secondly, a modification of Long Short-Term Memory (LSTM), named as bidirectional LSTM (BLSTM), is used to extract the item latent factors of a document sequence from both front and back directions. Finally, we tightly integrate BLSTM and MFM into probabilistic matrix factorization (PMF) to form JMF. Compared with the classical matrix factorization and other integration models, JMF extracts document data as well as user behavioral data as item vectors and user vectors. Extensive experiments on five real-world datasets show the proposed model has better performance compared with the state-of-the-art recommendation methods.  © 2013 IEEE.
Recommender systems as an agility enabler in supply chain management;In recent years, recommender systems have become necessary in overcoming the challenges related to the incredible growth of information. They are used in a wide range of contexts and applications, mainly as prediction tools for customer interest, designed to help customers decide, compare, discover and explore products (Meyer in Recommender systems in industrial contexts, Sciences et Technologies de l’Information, Grenoble, 2012). Therefore, research in the field has focused on improving the efficiency of data processing for instant and accurate recommendations. Recommendation of products, accordingly, does not take into consideration supply chain constraints for deliveries. This can lead to recommendations for products that can be costly or too long to ship to the customer, resulting in an avoidable increase in the stress on the supply chain. This paper addresses the problem of considering delivery constraints in product recommendations. The objective is to shift demand toward products that can be delivered using the current network state without additional resources in a given time window, perimeter and with a minimum acceptable profit, in the context of e-commerce. To achieve this goal, we propose a methodology to adjust product recommendations in order to shift customers’ interests towards particular products with consideration for remaining unit loads of scheduled deliveries. For this, quasireal-time information about the supply chain is taken into consideration to improve the number of shippable products in the recommendation list, resulting in a possible improvement in truck-load utilization, lower operation costs and reduced lead-times for delivery. This method works in two stages: the first stage is the computation of the recommendation with traditional recommendation systems, and the second stage is recommendation adjustments in four phases that consider the evaluation of active trucks, evaluation of physical constraints for transportation, evaluation of the profits associated with adding a pickup/delivery to a scheduled tour for each recommended item and adjustment of recommendation scores. A sensitivity analysis of the impact of the recommendation adjustment on the recommendation list has been conducted for each of the parameters considered in the proposed method: time window, perimeter radius and minimum acceptable profit. Various experimental results prove that the method permits increasing the number of recommended products that can be shipped using the available resources within a given perimeter radius, time window and minimum profit. © 2020, Springer Science+Business Media, LLC, part of Springer Nature.
A vendor recommendation model using neural networks;Suppliers today are considered as a logical extension to a firm that provide critical inputs to its processes. Supplier performance evaluation is vital for any firm to carry out supplier selection and to practice effective supply chain management. Further, the supplier performance measurement system should continuously evolve in a company as a process for improving the capabilities, execution effectiveness and efficiency. Though the supplier performance systems have been well investigated in the literature, very few studies have proposed an order-based supplier selection approach that takes into account the changing priorities of the customer. The research tries to address this gap by attempting to establish a dynamic linkage between customer order priorities and supplier characteristics. A neural network model for the order driven vendor recommendation system that ranks the suppliers as per the requirements of the order has been proposed. © 2021 Inderscience Enterprises Ltd.
A Meta-Analysis on the Determinants of Online Product Reviews with Moderating Effect of Product Type;The technological advances in digital space have provided a renewed impetus for business to expand their footprint across digital modes. The growth of the internet and the ease of its access to the masses has encouraged many businesses to go online. Online e-commerce platforms make it easy to search, locate and place orders. Technology-assisted supply chains and fast delivery mechanisms ensure that users don't have to go elsewhere to fulfill their needs. To earn loyalty and customer satisfaction, e-commerce platforms have evolved into a sophisticated recommender system. It has evolved from just an informational source to a participative mode where users can share their experiences about their purchases. Customer values other user experiences more than the information provided by the seller. The presence of many conflicting and contradicting reviews can make the task of making rational decisions difficult for many users. Many studies were performed to understand what constitutes a review helpful and came up with different or mixed outcomes. The present study reviews the factors that influence online customer reviews helpful. Meta-analysis was performed to reconcile the mixed findings of different factors of online review helpfulness. The meta-analysis found that with the moderating effect of product type, factors like review length, readability, rating, reputation, and expertise positively correlate with helpfulness. Further, the customer finds moderate reviews more helpful in terms of polarity. Meta-analysis has a mix of findings for the selected data points in the study. The mixed findings include product type (search, experience, or other) and helpfulness measurement criteria. © 2022 Kavita Rawat and Sunita Kumar. This is an open access article licensed under the Creative Commons Attribution-NonCommercial 4.0 International License.
Sonia: An integrated indonesia online tourism system in new normal era;Indonesian travel and tourism have grown to become one of the largest economic sectors in the world. Tourists are the main source of income for gross domestic income in Indonesia. However, although Indonesia as a beautiful archipelago country has so much offer to foreign and local tourist, until now it fails to give their potential to the country. Furthermore, the COVID-19 situation made Indonesia tourism worse. Travelling is banned as a consequence of lockdown in Indonesia. Business and economic need to adjust into their new normal. Unfortunately, in the midst of the current era of Internet technology and new normal, Indonesia’s tourism promotion is considered to be uneven and unwell targeted. Many tourist destinations are very interesting and clean but not yet known by potential tourists both from domestic and abroad due to the lack of targeted promotions and re-branding of a safe place to visit. Seeing to this prob-lem, this study aims to propose an integrated tourism system called SONIA, by using a Service-Oriented Architecture (SOA) and an Artificial Intelligence (AI) model to build a personalized recommender system. Through this system integration model, a significant socio-economic benefit can be made for tourism sector in Indonesia. The results of the research will be exploited for the tourism industry and Indonesia’s participation in the global tourism competition market. © 2020, ICIC International. All rights reserved.
