id;n_victimas;aaaa;mm;dd;fecha;hora;franja_hora;direccion_normalizada;comuna;tipo_calle;otra_direccion;calle;altura;cruce;geocodificacion_CABA;longitud;latutid;victima;acusado;participantes;moto;auto;transporte_publico;camion;ciclista;gravedad
LC-2019-0270845;1;2019;5;1;43586;0,263888889;6;SD;13;SD;Blanco Encalada y Vidal 0, Barrio: Belgrano  , jurisdicción comisaria:  Vecinal 13C;;;;Point (100049.13163829038967378 107529.59112994476163294);-58.462764;-34.561395;SD;SD;SD-SD;x;SD;SD;SD;SD;SD
LC-2019-0270863;2;2019;5;1;43586;0,326388889;7;SD;9;SD;Acosta, Mariano Av. y San Pedro 0, Barrio: Parque Avellaneda  , jurisdicción comisaria:  Vecinal 9C;;;;Point (99162.00121910581947304 98609.73614048515446484);-58.47244;-34.641802;SD;SD;SD-SD;x;SD;SD;SD;SD;SD
LC-2019-0270915;1;2019;5;1;43586;0,377777778;9;SD;3;SD;San Juan Av. y Pasco 0, Barrio: San Cristobal  , jurisdicción comisaria:  Vecinal 3B;;;;Point (106137.96841876758844592 100687.23338921704271343);-58.396368;-34.623057;SD;SD;SD-SD;x;SD;SD;SD;SD;SD
LC-2019-0271021;1;2019;5;1;43586;0,482638889;11;SD;14;SD;Del Libertador Av. y Matienzo, Benjamin, Teniente 0, Barrio: Palermo  , jurisdicción comisaria:  Vecinal 14C;;;;Point (102849.41228844929719344 106999.46672063188452739);-58.432249;-34.56617;SD;SD;SD-SD;SD;SD;SD;SD;SD;SD
LC-2019-0271122;1;2019;5;1;43586;0,545138889;13;SD;14;SD;Borges, Jorge Luis 1627, Barrio: Palermo VIA PUBLICA , jurisdicción comisaria:  Vecinal 14A;;;;Point (103071.04184841923415661 104498.19418783865694422);-58.429825;-34.588717;SD;SD;SD-SD;x;SD;SD;SD;SD;SD
LC-2019-0271127;1;2019;5;1;43586;0,545138889;13;SD;13;SD;La Pampa 845, Barrio: Belgrano  , jurisdicción comisaria:  Vecinal 13A;;;;Point (102312.77727999670605641 108213.65872781811049208);-58.4381;-34.555226;SD;SD;SD-SD;x;SD;SD;SD;SD;SD
LC-2019-0271157;1;2019;5;1;43586;0,638888889;15;SD;13;SD;Vuelta De Obligado y Rivadavia Martin, Comodoro 0, Barrio: Nuñez  , jurisdicción comisaria:  Vecinal 13B;;;;Point (99632.78377049871778581 109010.52935444482136518);-58.4673;-34.548045;MOTO;SD;MOTO-SD;x;SD;SD;SD;SD;SD
LC-2019-0271208;1;2019;5;1;43586;0,7;16;SD;13;SD;Rivera, Pedro I., Dr. 2981, Barrio: Belgrano  , jurisdicción comisaria:  Vecinal 13C;;;;Point (99695.98408116352220532 107701.64053207061078865);-58.466612;-34.559844;SD;SD;SD-SD;SD;SD;SD;SD;SD;SD
LC-2019-0271236;1;2019;5;1;43586;0,645833333;15;SD;6;SD;Galicia y Paysandu 0, Barrio: Caballito  , jurisdicción comisaria:  Vecinal 6A;;;;Point (100699.61994656565366313 102318.38144123289384879);-58.455672;-34.608371;SD;SD;SD-SD;x;SD;SD;SD;x;SD
LC-2019-0271257;1;2019;5;1;43586;0,666666667;16;SD;2;SD;Cordoba Av. y Sanchez De Bustamante 0, Barrio: Recoleta  , jurisdicción comisaria:  Vecinal 2B;;;;Point (104590.4393055279069813 103473.55056453296856489);-58.413258;-34.597948;MOTO;SD;MOTO-SD;x;SD;SD;SD;SD;SD
LC-2019-0271537;1;2019;5;1;43586;0,853472222;20;SD;1;SD;Moreau De Justo, Alicia Av. 1900, Barrio: Puerto Madero  , jurisdicción comisaria:  Vecinal 1E;;;;Point (108973.40820607772911899 100988.89218395965872332);-58.365452;-34.620317;MOTO;SD;MOTO-SD;x;SD;SD;SD;SD;SD
